[0815/161450.368:WARNING:archive.cc(145)] Opening \\?\c:\Users\S.Visser\Documents\dev\VodacomHackathon2020-Team1\MusicStream\FrontEnd\node_modules\babel-preset-C:\Program Files\MiniProgramStudio\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0815/161450.369:WARNING:archive.cc(145)] Opening \\?\c:\Users\S.Visser\Documents\dev\VodacomHackathon2020-Team1\MusicStream\FrontEnd\node_modules\babel-preset-C:\Program Files\MiniProgramStudio\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0815/161450.369:WARNING:archive.cc(145)] Opening \\?\c:\Users\S.Visser\Documents\dev\VodacomHackathon2020-Team1\MusicStream\FrontEnd\node_modules\babel-preset-C:\Program Files\MiniProgramStudio\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0815/161450.369:WARNING:archive.cc(145)] Opening \\?\c:\Users\S.Visser\Documents\dev\VodacomHackathon2020-Team1\MusicStream\FrontEnd\node_modules\babel-preset-C:\Program Files\MiniProgramStudio\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0815/161450.370:WARNING:archive.cc(145)] Opening \\?\C:\Program Files\MiniProgramStudio\resources\app\node_modules\babel-preset-C:\Program Files\MiniProgramStudio\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0815/161450.370:WARNING:archive.cc(145)] Opening \\?\C:\Program Files\MiniProgramStudio\resources\app\node_modules\babel-preset-C:\Program Files\MiniProgramStudio\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0815/161450.370:WARNING:archive.cc(145)] Opening \\?\C:\Program Files\MiniProgramStudio\resources\app\node_modules\babel-preset-C:\Program Files\MiniProgramStudio\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0815/161450.370:WARNING:archive.cc(145)] Opening \\?\C:\Program Files\MiniProgramStudio\resources\app\node_modules\babel-preset-C:\Program Files\MiniProgramStudio\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0815/161450.370:WARNING:archive.cc(145)] Opening \\?\C:\Program Files\MiniProgramStudio\resources\app\vol_modules.asar\node_modules\babel-preset-C:\Program Files\MiniProgramStudio\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0815/161450.370:WARNING:archive.cc(145)] Opening \\?\C:\Program Files\MiniProgramStudio\resources\app\vol_modules.asar\node_modules\babel-preset-C:\Program Files\MiniProgramStudio\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0815/161450.370:WARNING:archive.cc(145)] Opening \\?\C:\Program Files\MiniProgramStudio\resources\app\vol_modules.asar\node_modules\babel-preset-C:\Program Files\MiniProgramStudio\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0815/161450.371:WARNING:archive.cc(145)] Opening \\?\C:\Program Files\MiniProgramStudio\resources\app\vol_modules.asar\node_modules\babel-preset-C:\Program Files\MiniProgramStudio\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0815/161450.377:WARNING:archive.cc(145)] Opening \\?\C:\Program Files\MiniProgramStudio\resources\app\vol_modules.asar\node_modules\@alipay\tiny-cli\node_modules\babel-plugin-C:\Program Files\MiniProgramStudio\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0815/161450.377:WARNING:archive.cc(145)] Opening \\?\C:\Program Files\MiniProgramStudio\resources\app\vol_modules.asar\node_modules\@alipay\tiny-cli\node_modules\babel-plugin-C:\Program Files\MiniProgramStudio\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0815/161450.377:WARNING:archive.cc(145)] Opening \\?\C:\Program Files\MiniProgramStudio\resources\app\vol_modules.asar\node_modules\@alipay\tiny-cli\node_modules\babel-plugin-C:\Program Files\MiniProgramStudio\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0815/161450.378:WARNING:archive.cc(145)] Opening \\?\C:\Program Files\MiniProgramStudio\resources\app\vol_modules.asar\node_modules\@alipay\tiny-cli\node_modules\babel-plugin-C:\Program Files\MiniProgramStudio\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0815/161450.378:WARNING:archive.cc(145)] Opening \\?\C:\Program Files\MiniProgramStudio\resources\app\vol_modules.asar\node_modules\babel-plugin-C:\Program Files\MiniProgramStudio\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0815/161450.378:WARNING:archive.cc(145)] Opening \\?\C:\Program Files\MiniProgramStudio\resources\app\vol_modules.asar\node_modules\babel-plugin-C:\Program Files\MiniProgramStudio\resources\app\vol_modules.asar: FILE_ERROR_FAILED
